Gene ID,Control_16hpi_rep1,Control_16hpi_rep2,Control_16hpi_rep3,_AP2-MRPKO_16hpi_rep1,_AP2-MRPKO_16hpi_rep2,_AP2-MRPKO_16hpi_rep3,Control_40hpi_rep1,Control_40hpi_rep2,Control_40hpi_rep3,_AP2-MRPKO_40hpi_rep1,_AP2-MRPKO_40hpi_rep2,_AP2-MRPKO_40hpi_rep3
PF3D7_1480000,25,29,31,7,10,4,0,0,1,2,2,2
PF3D7_0922800,154,114,159,168,145,160,957,1049,1255,3549,3626,2965
PF3D7_1427400,223,125,169,102,103,98,230,342,341,695,640,675
PF3D7_0924300,5,6,8,7,10,3,527,741,686,1059,1031,1013
PF3D7_1477900,18,12,21,12,14,10,161,172,235,604,631,442
PF3D7_1010100,180,148,144,180,165,208,406,611,630,756,633,637
PF3D7_1453700,29675,25069,28222,25249,21309,26485,5438,6068,7680,25646,27116,24346
PF3D7_1373400,35,35,26,15,6,3,11,6,5,19,33,15
PF3D7_1024600,13,9,10,13,10,10,206,193,265,794,703,720
PF3D7_0617100,726,437,635,557,510,583,2870,2928,3665,3422,3760,2886
PF3D7_0525100,3402,2276,2878,3317,3377,3775,30589,25775,45352,18967,20150,17734
PF3D7_0914200,344,268,322,523,586,596,1601,1894,2526,3519,4000,3157
PF3D7_1409100,593,395,549,317,318,430,3514,3351,4381,8588,8439,6482
PF3D7_1214100,19,18,24,28,31,27,1539,1723,2199,1746,1856,1575
PF3D7_1212900,2660,1857,2434,2617,2724,2803,5938,6936,10489,19957,21213,17882
PF3D7_0807500,2272,1755,2199,1748,1773,2016,3381,3362,4062,8178,8002,7835
PF3D7_1346000,14,4,14,11,14,12,143,195,206,931,911,757
PF3D7_0203600,2,1,3,0,5,2,105,111,141,330,297,296
PF3D7_0805700,1,5,8,14,7,6,2049,2434,2667,2624,2789,2354
PF3D7_0302300,41510,28509,34140,35567,33891,35532,196,306,449,71,94,82
PF3D7_1401200,1148,842,1198,313,301,504,704,733,831,1177,1219,1073
PF3D7_1311100,53,24,53,84,63,104,55,56,91,243,240,177
PF3D7_1133800,1076,715,1014,813,790,894,3782,4019,4860,5283,5480,4510
PF3D7_1421500,71,49,70,40,43,45,33,30,67,199,184,156
PF3D7_1427100,4190,3110,3463,6604,6435,7103,5279,8150,10238,14714,16579,15010
PF3D7_1466600,89,66,61,45,40,57,30,36,59,34,48,47
PF3D7_1400400,11,10,9,3,0,2,3,9,6,1,2,2
PF3D7_0308900,1537,1057,1369,1317,1135,1338,1766,1785,2333,3170,3206,2757
PF3D7_1118800,2,2,6,0,4,4,258,265,335,1213,1246,973
PF3D7_0323000,1941,1930,1936,964,1031,1362,449,369,430,838,826,806
